sequence,mom,theta,phi,mmsq,bin_content
1,1,18,36,-0.4,73
2,1,18,36,-0.392,6
3,1,18,36,-0.384,9
4,1,18,36,-0.376,4
5,1,18,36,-0.368,9
6,1,18,36,-0.36,14
7,1,18,36,-0.352,11
8,1,18,36,-0.344,12
9,1,18,36,-0.336,10
10,1,18,36,-0.328,17
11,1,18,36,-0.32,22
12,1,18,36,-0.312,17
13,1,18,36,-0.304,16
14,1,18,36,-0.296,18
15,1,18,36,-0.288,28
16,1,18,36,-0.28,15
17,1,18,36,-0.272,29
18,1,18,36,-0.264,26
19,1,18,36,-0.256,21
20,1,18,36,-0.248,38
21,1,18,36,-0.24,29
22,1,18,36,-0.232,30
23,1,18,36,-0.224,17
24,1,18,36,-0.216,29
25,1,18,36,-0.208,38
26,1,18,36,-0.2,42
27,1,18,36,-0.192,35
28,1,18,36,-0.184,62
29,1,18,36,-0.176,47
30,1,18,36,-0.168,64
31,1,18,36,-0.16,79
32,1,18,36,-0.152,62
33,1,18,36,-0.144,72
34,1,18,36,-0.136,70
35,1,18,36,-0.128,91
36,1,18,36,-0.12,74
37,1,18,36,-0.112,111
38,1,18,36,-0.104,106
39,1,18,36,-0.096,110
40,1,18,36,-0.088,139
41,1,18,36,-0.08,169
42,1,18,36,-0.072,186
43,1,18,36,-0.064,193
44,1,18,36,-0.056,243
45,1,18,36,-0.048,245
46,1,18,36,-0.04,320
47,1,18,36,-0.032,384
48,1,18,36,-0.024,495
49,1,18,36,-0.016,653
50,1,18,36,-0.00799999,868
51,1,18,36,1.30385E-08,1345
52,1,18,36,0.00800001,1927
53,1,18,36,0.016,2837
54,1,18,36,0.024,3102
55,1,18,36,0.032,2709
56,1,18,36,0.04,2208
57,1,18,36,0.048,1709
58,1,18,36,0.056,1459
59,1,18,36,0.064,1260
60,1,18,36,0.072,1119
61,1,18,36,0.08,947
62,1,18,36,0.088,904
63,1,18,36,0.096,853
64,1,18,36,0.104,790
65,1,18,36,0.112,800
66,1,18,36,0.12,694
67,1,18,36,0.128,699
68,1,18,36,0.136,620
69,1,18,36,0.144,631
70,1,18,36,0.152,649
71,1,18,36,0.16,591
72,1,18,36,0.168,572
73,1,18,36,0.176,635
74,1,18,36,0.184,538
75,1,18,36,0.192,559
76,1,18,36,0.2,534
77,1,18,36,0.208,580
78,1,18,36,0.216,509
79,1,18,36,0.224,507
80,1,18,36,0.232,466
81,1,18,36,0.24,507
82,1,18,36,0.248,457
83,1,18,36,0.256,453
84,1,18,36,0.264,415
85,1,18,36,0.272,418
86,1,18,36,0.28,385
87,1,18,36,0.288,379
88,1,18,36,0.296,372
89,1,18,36,0.304,390
90,1,18,36,0.312,334
91,1,18,36,0.32,312
92,1,18,36,0.328,344
93,1,18,36,0.336,277
94,1,18,36,0.344,292
95,1,18,36,0.352,271
96,1,18,36,0.36,280
97,1,18,36,0.368,262
98,1,18,36,0.376,227
99,1,18,36,0.384,257
100,1,18,36,0.392,250
